Date,Daytime Average Temperature (degrees Celsius),Daytime Average Humidity (%),Average Pressure (hPa),Total Precipitation (mm),Average Windspeed (m/s),Daytime Average Enthalpy,Daytime Average Moisture,Occupancy,Daytime kWh - actual power consumption (kWh),Actual water consumption (kLiter),Actual Gas consumption (MJ)
10/02/2022,32.9,28.2,1008,0,0,55.7,8.8,270,5167.9,8.3,1006.79
11/02/2022,30,51.8,1007.7,0,0.1,66.6,14.3,240,5182.8,2.6,2456.57
14/02/2022,33.7,39.4,1014.1,0,0.1,68.1,13.3,251,6700.7,8,9222.22
15/02/2022,33.5,37.8,1017.3,0,0,65.4,12.4,269,6437,15.3,966.52
16/02/2022,35.4,27.8,1015.4,0,0,61.9,10.2,251,6685,15.3,966.52
17/02/2022,33.4,28.5,1016.3,0,0.1,57,9.1,280,5976,8.3,1006.79
18/02/2022,34.4,22.3,1016.3,0,0,53.8,7.5,239,6079.4,2.6,2456.57
21/02/2022,29.6,38.9,1010.3,0,0,56.3,10.4,233,6457.2,8,9222.22
22/02/2022,30.5,35.6,1008.6,0,0,56.1,9.9,239,5829.1,15.3,966.52
23/02/2022,30.2,38.1,1011.5,0,0.1,56.8,10.3,218,5481,15.3,966.52
24/02/2022,30.3,37.6,1011.6,0,0,56.8,10.3,268,5142.8,8.3,1006.79
25/02/2022,28.7,45.7,1009,3.2,0,58.7,11.7,229,5067,2.6,2456.57
28/02/2022,29.3,44.5,1005.2,0,0.1,59.2,11.6,224,6039.2,8,9222.22
